year,quarter,state_name/ut_name,districts_name,registered_users
2020,4,karnataka,ballari district,654751
2020,4,karnataka,belagavi district,1051934
2020,4,karnataka,kolar district,495224
2020,4,karnataka,uttara kannada district,318811
2020,4,karnataka,tumakuru district,682441
2020,4,karnataka,yadgir district,174982
2020,4,karnataka,bengaluru urban district,9286243
2020,4,karnataka,chikkaballapura district,345355
2020,4,karnataka,davanagere district,471813
2020,4,karnataka,bagalkote district,415594
2020,4,karnataka,vijayapura district,504403
2020,4,karnataka,koppal district,266212
2020,4,karnataka,bidar district,381843
2020,4,karnataka,bengaluru rural district,593872
2020,4,karnataka,raichur district,393385
2020,4,karnataka,chamarajanagara district,161907
2020,4,karnataka,dakshina kannada district,690826
2020,4,karnataka,hassan district,453802
2020,4,karnataka,dharwad district,663973
2020,4,karnataka,shivamogga district,455648
2020,4,karnataka,udupi district,352464
2020,4,karnataka,gadag district,207278
2021,1,karnataka,mysuru district,1094627
2021,1,karnataka,chitradurga district,359774
2021,1,karnataka,kalaburagi district,602937
2021,1,karnataka,ramanagara district,389219
2021,1,karnataka,mandya district,458538
2021,1,karnataka,kodagu district,153053
2021,1,karnataka,chikkamagaluru district,289630
2021,1,karnataka,haveri district,293899
2021,1,karnataka,ballari district,705364
2021,1,karnataka,belagavi district,1132987
2021,1,karnataka,kolar district,534157
2021,1,karnataka,uttara kannada district,343355
2021,1,karnataka,tumakuru district,736609
2021,1,karnataka,yadgir district,189271
2021,1,karnataka,bengaluru urban district,9955387
2021,1,karnataka,chikkaballapura district,372241
2021,1,karnataka,davanagere district,508179
2021,1,karnataka,bagalkote district,447765
2021,1,karnataka,vijayapura district,543181
2021,1,karnataka,koppal district,287597
2021,1,karnataka,bidar district,411728
2021,1,karnataka,bengaluru rural district,639890
2021,1,karnataka,raichur district,424252
2021,1,karnataka,chamarajanagara district,174952
2021,1,karnataka,dakshina kannada district,746964
2021,1,karnataka,hassan district,490609
2021,1,karnataka,dharwad district,714056
2021,1,karnataka,shivamogga district,491220
2021,1,karnataka,udupi district,380553
2021,1,karnataka,gadag district,223838
2021,2,karnataka,mysuru district,1168608
2021,2,karnataka,chitradurga district,386380
2021,2,karnataka,kalaburagi district,645639
2021,2,karnataka,ramanagara district,416739
2021,2,karnataka,mandya district,491102
2021,2,karnataka,kodagu district,163742
