year,quarter,state_name/ut_name,districts_name,total_transactions_count,total_transactions_amount
2021,4,karnataka,bengaluru urban district,44650,50064816.0
2021,4,karnataka,chikkaballapura district,583,926384.0
2021,4,karnataka,davanagere district,1050,1416678.0
2021,4,karnataka,bagalkote district,695,916618.0
2021,4,karnataka,vijayapura district,1057,1353128.0
2021,4,karnataka,koppal district,397,475837.0
2021,4,karnataka,bidar district,752,1095967.0
2021,4,karnataka,bengaluru rural district,1664,2301115.0
2021,4,karnataka,raichur district,644,821665.0
2021,4,karnataka,chamarajanagara district,215,358043.0
2021,4,karnataka,dakshina kannada district,1760,2383587.0
2021,4,karnataka,hassan district,1107,1594289.0
2021,4,karnataka,dharwad district,1998,2448037.0
2021,4,karnataka,shivamogga district,1243,1666023.0
2021,4,karnataka,udupi district,713,1031736.0
2021,4,karnataka,gadag district,321,383917.0
2022,1,karnataka,mysuru district,4256,6273651.0
2022,1,karnataka,chitradurga district,659,1106515.0
2022,1,karnataka,kalaburagi district,1554,2229919.0
2022,1,karnataka,ramanagara district,1298,1978853.0
2022,1,karnataka,mandya district,1115,1824593.0
2022,1,karnataka,kodagu district,509,966153.0
2022,1,karnataka,chikkamagaluru district,767,1399768.0
2022,1,karnataka,haveri district,403,748998.0
2022,1,karnataka,ballari district,1982,2817568.0
2022,1,karnataka,belagavi district,2565,4027564.0
2022,1,karnataka,kolar district,1129,1982160.0
2022,1,karnataka,uttara kannada district,1073,1710853.0
2022,1,karnataka,tumakuru district,2107,3270489.0
2022,1,karnataka,yadgir district,267,399891.0
2022,1,karnataka,bengaluru urban district,57549,71700148.0
2022,1,karnataka,chikkaballapura district,747,1255339.0
2022,1,karnataka,davanagere district,1774,2444546.0
2022,1,karnataka,bagalkote district,729,1217765.0
2022,1,karnataka,vijayapura district,1266,1866764.0
2022,1,karnataka,koppal district,406,705701.0
2022,1,karnataka,bidar district,832,1372394.0
2022,1,karnataka,bengaluru rural district,2133,3131559.0
2022,1,karnataka,raichur district,862,1436471.0
2022,1,karnataka,chamarajanagara district,346,672392.0
2022,1,karnataka,dakshina kannada district,2163,3326629.0
2022,1,karnataka,hassan district,1476,2389395.0
2022,1,karnataka,dharwad district,2629,3647319.0
2022,1,karnataka,shivamogga district,1771,2717744.0
2022,1,karnataka,udupi district,893,1510019.0
2022,1,karnataka,gadag district,380,602420.0
2022,2,karnataka,mysuru district,4122,5603711.0
2022,2,karnataka,chitradurga district,712,1104104.0
2022,2,karnataka,kalaburagi district,1342,2011523.0
2022,2,karnataka,ramanagara district,1235,1793927.0
2022,2,karnataka,mandya district,1115,1686214.0
2022,2,karnataka,kodagu district,362,645642.0
2022,2,karnataka,chikkamagaluru district,672,1263134.0
2022,2,karnataka,haveri district,473,808098.0
2022,2,karnataka,ballari district,1763,2282676.0
2022,2,karnataka,belagavi district,2609,3892332.0
2022,2,karnataka,kolar district,1123,1849029.0
2022,2,karnataka,uttara kannada district,1028,1665266.0
2022,2,karnataka,tumakuru district,1926,3127331.0
2022,2,karnataka,yadgir district,259,355257.0
2022,2,karnataka,bengaluru urban district,57934,69731242.0
2022,2,karnataka,chikkaballapura district,714,1136118.0
2022,2,karnataka,davanagere district,1531,2021047.0
2022,2,karnataka,bagalkote district,634,907169.0
2022,2,karnataka,vijayapura district,1180,1575616.0
2022,2,karnataka,koppal district,382,631507.0
2022,2,karnataka,bidar district,701,1177801.0
2022,2,karnataka,bengaluru rural district,2122,3278607.0
2022,2,karnataka,raichur district,737,1121808.0
2022,2,karnataka,chamarajanagara district,276,565699.0
2022,2,karnataka,dakshina kannada district,1909,2849505.0
2022,2,karnataka,hassan district,1266,2065814.0
2022,2,karnataka,dharwad district,2393,3355104.0
2022,2,karnataka,shivamogga district,1672,2643157.0
2022,2,karnataka,udupi district,830,1402889.0
2022,2,karnataka,gadag district,363,677305.0
2022,3,karnataka,mysuru district,5093,6718622.0
2022,3,karnataka,chitradurga district,856,1223908.0
2022,3,karnataka,kalaburagi district,1971,2659120.0
2022,3,karnataka,ramanagara district,1428,2074732.0
2022,3,karnataka,mandya district,1316,1904513.0
2022,3,karnataka,kodagu district,439,915946.0
2022,3,karnataka,chikkamagaluru district,944,1505703.0
2022,3,karnataka,haveri district,657,989340.0
2022,3,karnataka,ballari district,2541,3202170.0
2022,3,karnataka,belagavi district,2774,4182385.0
2022,3,karnataka,kolar district,1336,2172996.0
2022,3,karnataka,uttara kannada district,1418,2124944.0
2022,3,karnataka,tumakuru district,2349,3662277.0
2022,3,karnataka,yadgir district,418,458653.0
2022,3,karnataka,bengaluru urban district,64593,79303480.0
2022,3,karnataka,chikkaballapura district,923,1540043.0
2022,3,karnataka,davanagere district,2201,2787038.0
2022,3,karnataka,bagalkote district,762,1138581.0
2022,3,karnataka,vijayapura district,1436,1838887.0
2022,3,karnataka,koppal district,597,809240.0
2022,3,karnataka,bidar district,1062,1550646.0
2022,3,karnataka,bengaluru rural district,2448,3640101.0
2022,3,karnataka,raichur district,1884,2278744.0
2022,3,karnataka,chamarajanagara district,402,597276.0
2022,3,karnataka,dakshina kannada district,2545,3698741.0
2022,3,karnataka,hassan district,1599,2537563.0
2022,3,karnataka,dharwad district,2755,3667159.0
2022,3,karnataka,shivamogga district,1872,2833979.0
2022,3,karnataka,udupi district,1230,1844542.0
2022,3,karnataka,gadag district,424,744455.0
2022,4,karnataka,mysuru district,6820,9461969.0
2022,4,karnataka,chitradurga district,986,1494521.0
2022,4,karnataka,kalaburagi district,2140,3084324.0
2022,4,karnataka,ramanagara district,1661,2625421.0
2022,4,karnataka,mandya district,1529,2552054.0
