state,year,quarter,registered_users,total_open_apps,phone_brand,phone_count,Percentage
jharkhand,2018,2,1230599,0,Oppo,123963,10.07
jharkhand,2018,2,1230599,0,Realme,81803,6.65
jharkhand,2018,2,1230599,0,Motorola,35938,2.92
jharkhand,2018,2,1230599,0,Lenovo,33606,2.73
jharkhand,2018,2,1230599,0,Micromax,24983,2.03
jharkhand,2018,2,1230599,0,Gionee,20827,1.69
jharkhand,2018,2,1230599,0,Apple,19462,1.58
jharkhand,2018,2,1230599,0,Others,160266,13.02
jharkhand,2018,3,1532362,0,Xiaomi,439833,28.70
jharkhand,2018,3,1532362,0,Samsung,295383,19.28
jharkhand,2018,3,1532362,0,Vivo,193869,12.65
jharkhand,2018,3,1532362,0,Oppo,159229,10.39
jharkhand,2018,3,1532362,0,Realme,101952,6.65
jharkhand,2018,3,1532362,0,Motorola,42958,2.80
jharkhand,2018,3,1532362,0,Lenovo,37476,2.45
jharkhand,2018,3,1532362,0,Micromax,26503,1.73
jharkhand,2018,3,1532362,0,Gionee,23944,1.56
jharkhand,2018,3,1532362,0,Apple,22649,1.48
jharkhand,2018,3,1532362,0,Others,188566,12.31
jharkhand,2018,4,1913949,0,Xiaomi,554142,28.95
jharkhand,2018,4,1913949,0,Samsung,369713,19.32
jharkhand,2018,4,1913949,0,Vivo,255185,13.33
jharkhand,2018,4,1913949,0,Oppo,206848,10.81
jharkhand,2018,4,1913949,0,Realme,126956,6.63
jharkhand,2018,4,1913949,0,Motorola,51123,2.67
jharkhand,2018,4,1913949,0,Lenovo,44254,2.31
jharkhand,2018,4,1913949,0,Micromax,29297,1.53
jharkhand,2018,4,1913949,0,Huawei,26995,1.41
jharkhand,2018,4,1913949,0,Apple,26662,1.39
jharkhand,2018,4,1913949,0,Others,222774,11.64
jharkhand,2019,1,2279329,0,Xiaomi,661118,29.00
jharkhand,2019,1,2279329,0,Samsung,438467,19.24
jharkhand,2019,1,2279329,0,Vivo,315631,13.85
jharkhand,2019,1,2279329,0,Oppo,254670,11.17
jharkhand,2019,1,2279329,0,Realme,150137,6.59
jharkhand,2019,1,2279329,0,Motorola,57711,2.53
jharkhand,2019,1,2279329,0,Lenovo,49332,2.16
jharkhand,2019,1,2279329,0,Huawei,33019,1.45
jharkhand,2019,1,2279329,0,Micromax,32461,1.42
jharkhand,2019,1,2279329,0,Apple,30369,1.33
jharkhand,2019,1,2279329,0,Others,256414,11.25
jharkhand,2019,2,2604854,14929066,Xiaomi,756561,29.04
jharkhand,2019,2,2604854,14929066,Samsung,502067,19.27
jharkhand,2019,2,2604854,14929066,Vivo,370526,14.22
jharkhand,2019,2,2604854,14929066,Oppo,299074,11.48
jharkhand,2019,2,2604854,14929066,Realme,172512,6.62
jharkhand,2019,2,2604854,14929066,Motorola,63263,2.43
jharkhand,2019,2,2604854,14929066,Lenovo,53654,2.06
jharkhand,2019,2,2604854,14929066,Huawei,37887,1.45
jharkhand,2019,2,2604854,14929066,Apple,34097,1.31
jharkhand,2019,2,2604854,14929066,Micromax,33592,1.29
jharkhand,2019,2,2604854,14929066,Others,281621,10.81
jharkhand,2019,3,2915511,55504460,Xiaomi,851598,29.21
jharkhand,2019,3,2915511,55504460,Samsung,555632,19.06
