year,quarter,entity_type,entity_name,transaction_type,count,amount
2022,1,districts,chandigarh,TOTAL,8600491,15174991549.840002
2022,1,pincodes,160008,TOTAL,4148686,8330831723.251343
2022,1,pincodes,160101,TOTAL,582638,900157036.9754957
2022,1,pincodes,160036,TOTAL,565957,818648616.7393746
2022,1,pincodes,160002,TOTAL,477307,795306688.9260788
2022,1,pincodes,160022,TOTAL,463274,670615566.0713229
2022,1,pincodes,160047,TOTAL,373759,648826857.6349708
2022,1,pincodes,160015,TOTAL,286014,300333250.31270766
2022,1,pincodes,160014,TOTAL,233804,337767391.09374547
2022,1,pincodes,160019,TOTAL,201367,317971370.59751195
2022,1,pincodes,160030,TOTAL,161551,293087907.7468222
2022,2,districts,chandigarh,TOTAL,10772489,17283500158.371002
2022,2,pincodes,160008,TOTAL,5059490,9258542053.288263
2022,2,pincodes,160036,TOTAL,732432,984361022.9122139
2022,2,pincodes,160101,TOTAL,728216,1035383005.7324364
2022,2,pincodes,160022,TOTAL,595057,791965258.766219
2022,2,pincodes,160002,TOTAL,592250,934051903.7782843
2022,2,pincodes,160047,TOTAL,477286,749262583.811003
2022,2,pincodes,160015,TOTAL,390889,354221791.70854485
2022,2,pincodes,160014,TOTAL,300892,397487428.8048619
2022,2,pincodes,160019,TOTAL,275597,399400599.74529517
2022,2,pincodes,160030,TOTAL,205334,352064114.5163448
2022,3,districts,chandigarh,TOTAL,13478173,20559757737.405857
2022,3,pincodes,160017,TOTAL,7220428,11604475020.322536
2022,3,pincodes,160101,TOTAL,761809,1037031826.0963067
2022,3,pincodes,160008,TOTAL,693932,1288932571.5626671
2022,3,pincodes,160036,TOTAL,635601,826669211.5582159
2022,3,pincodes,160022,TOTAL,633386,850977147.2882487
2022,3,pincodes,160002,TOTAL,622789,945416289.7631533
2022,3,pincodes,160047,TOTAL,493183,727112803.9481075
2022,3,pincodes,160015,TOTAL,355036,344038099.04167664
2022,3,pincodes,160014,TOTAL,297078,391653807.81907696
2022,3,pincodes,160019,TOTAL,259522,369679070.93060195
2022,4,districts,chandigarh,TOTAL,17904840,27879754566.939415
2022,4,pincodes,160017,TOTAL,11852317,19715037296.288975
2022,4,pincodes,160101,TOTAL,849441,1120061675.6899076
2022,4,pincodes,160022,TOTAL,723413,939741331.2085838
2022,4,pincodes,160036,TOTAL,658156,838758052.8433906
2022,4,pincodes,160002,TOTAL,651078,991496336.1709905
2022,4,pincodes,160047,TOTAL,510930,755279072.6519243
